retained_depth_mm,dofs,horizontal_scattered_to_incident_l2,horizontal_beamwidth_deg,diagonal_scattered_to_incident_l2,diagonal_beamwidth_deg,vertical_scattered_to_incident_l2,vertical_beamwidth_deg
25.0,1548.0,0.10465067989948501,180.0,0.10958225947574042,180.0,0.11458916132467746,180.0
50.0,1790.0,0.21929421277550415,180.0,0.22753450044679438,180.0,0.23476052039018083,180.0
100.0,2198.0,0.5960468694729248,180.0,0.6093845380051763,180.0,0.620633221277632,180.0
