frequency_hz
5.000000000000000000e+02
5.186125477035284348e+02
5.379179492710892418e+02
5.579419962538739810e+02
5.787114402960282860e+02
6.002540288742038683e+02
6.225985423675165293e+02
6.457748325074419427e+02
6.698138622590076920e+02
6.947477471865686312e+02
7.206097983594265770e+02
7.474345668546163779e+02
7.752578899163125925e+02
8.041169388335209760e+02
8.340502686000294261e+02
8.650978694229470420e+02
8.973012201486579897e+02
9.307033436775604969e+02
9.653488644416246416e+02
1.001284068021558255e+03
1.038556962983226867e+03
1.077217345015942101e+03
1.117316863458297121e+03
1.158909090300445996e+03
1.202049591754985840e+03
1.246796002492078969e+03
1.293208102637983984e+03
1.341347897639862140e+03
1.391279701103562729e+03
1.443070220715044570e+03
1.496788647360245022e+03
1.552506747562429837e+03
1.610298959360541176e+03
1.670242491756622030e+03
1.732417427865182844e+03
1.796906831902312661e+03
1.863796860157468700e+03
1.933176876096203841e+03
2.005139569747603446e+03
2.079781081535923477e+03
2.157201130721890422e+03
2.237503148625223730e+03
2.320794416806388199e+03
2.407186210392173962e+03
2.496793946736574526e+03
2.589737339615605833e+03
2.686140559162015052e+03
2.786132397753586247e+03
2.889846442076656331e+03
2.997421251594703790e+03
3.109000543660456970e+03
3.224733385518809882e+03
3.344774393457069436e+03
3.469283939368589927e+03
3.598428365005760043e+03
3.732380204208559917e+03
3.871318413405634146e+03
4.015428610695755651e+03
4.164903323829131295e+03
4.319942247419844534e+03
4.480752509733024453e+03
4.647548949403246297e+03
4.820554402453749390e+03
5.000000000000000000e+03
