candidate,frequency_hz,impedance_magnitude_pa_s_m3,horizontal_6db_half_angle_deg,vertical_6db_half_angle_deg,gmres_iterations,solve_seconds,relative_residual
1,500.0,298389.4996656815,90.0,90.0,25,9.030930625,3.8652050665936206e-11
1,518.6125477035284,311091.1294964894,90.0,90.0,25,9.099853417,3.7216311566012705e-11
1,537.9179492710892,324824.20676916355,90.0,90.0,25,9.062702417,3.565981441872754e-11
1,557.941996253874,339671.7510054151,90.0,90.0,25,9.219825458,3.6307947011491696e-11
1,578.7114402960283,355712.10323012446,76.62030902363423,76.62288823521956,25,8.871469958,3.6759066856925815e-11
1,600.2540288742039,373015.56621211313,70.69731636021707,70.69895655240438,25,8.862900542,3.877436399141096e-11
1,622.5985423675165,391634.86319200165,66.32506158138384,66.32629789632259,25,8.77750175,4.168441416061028e-11
1,645.7748325074419,411586.46541453805,62.74122520878125,62.742188142821746,25,9.28154075,4.8200293350151395e-11
1,669.8138622590077,432819.1905593802,59.658891379083606,59.659669403875725,25,9.179814542,6.842982075077783e-11
1,694.7477471865686,455167.17964511155,56.92793734967307,56.92856747174732,25,9.256603667,9.480845729822657e-11
1,720.6097983594266,478289.4426872544,54.463065814314746,54.46357880631525,25,9.215924166,1.2811801384297956e-10
1,747.4345668546164,501612.8736277475,52.20163116878673,52.202040997420475,25,8.853756375,1.84634819137988e-10
1,775.2578899163126,524324.4435336787,50.10393261793733,50.10424964635953,24,8.68545975,7.124762626171451e-10
1,804.116938833521,545491.7808612147,48.13975680230265,48.13998847258118,26,9.488382417,1.0489649957610229e-10
1,834.0502686000294,564383.9742030412,46.28626754950501,46.28641886929856,27,9.649957125,5.2787180465623185e-11
1,865.097869422947,580945.4825437639,44.52674359546353,44.52681747456715,27,9.89859825,7.441933624079501e-11
1,897.301220148658,596167.1247086318,42.85008918243993,42.850086655637014,28,10.307907917,4.095405845331342e-11
1,930.7033436775605,612031.9798039704,41.252098558453646,41.25201866619945,28,10.194943791,4.748611619571716e-11
1,965.3488644416246,630994.1176295427,39.73452574745081,39.7343664500114,28,10.184176125,6.700097050167082e-11
1,1001.2840680215583,655315.766613925,38.31124157256856,38.310998513327846,28,10.178278292,1.005914913779328e-10
1,1038.5569629832269,686578.7417603763,37.011694138121825,37.0113623974409,28,10.791757166,1.5998956859071226e-10
1,1077.217345015942,725299.4563020399,35.89857326635271,35.898156842376196,28,11.085945625,3.0890588623232576e-10
1,1117.3168634582971,770186.099647316,35.08246311309475,35.08195664654381,29,11.554768334,1.1161624951182775e-10
1,1158.909090300446,816569.5963572673,34.77069681378843,34.77015278029322,30,11.578167416,5.863332015397868e-11
1,1202.0495917549858,854919.5870303314,35.33867625175708,35.338197836244944,31,11.9813115,4.733242181613195e-11
1,1246.796002492079,874211.5629865804,37.484293940230685,37.48443529471644,31,11.934523958,6.857493722074404e-11
1,1293.208102637984,873514.8793064877,41.91811966094877,41.920862460332884,31,12.030357333,1.0067697724107234e-10
1,1341.3478976398621,867267.8721074915,45.1927203138511,45.197197084994336,30,11.454849,4.1716960057358854e-10
1,1391.2797011035627,871785.012586985,44.75729426014311,44.76103428350763,31,11.921226167,1.6713068831034395e-10
1,1443.0702207150446,893181.526964085,42.61569309598512,42.61859377428022,32,12.180753542,7.588438675310658e-11
1,1496.788647360245,928598.1992026531,40.05072843822149,40.053057630700515,31,11.368627875,1.874513667204781e-10
1,1552.5067475624298,970654.7794316879,37.655104547201034,37.65713160528323,31,11.319975375,2.2624275237849616e-10
1,1610.2989593605412,1009225.3373759404,35.758307680032416,35.760258441462256,33,11.582725209,6.387208832072044e-11
1,1670.242491756622,1032385.1438880818,34.723745160789036,34.7258639094902,33,11.956033416,1.255257013277529e-10
1,1732.4174278651828,1030871.7481523515,35.232500494881215,35.23508449491808,33,11.999491333,1.0931701419827961e-10
1,1796.9068319023127,1008215.589527141,37.87770800433028,37.880566161531085,34,12.336557333,6.331922497222642e-11
1,1863.7968601574687,986193.7078984431,40.97702743143955,40.979354208942965,36,12.911993083,9.549063483111364e-11
1,1933.1768760962038,989406.2559136086,42.8518124784161,42.85370744592342,37,13.610024375,1.3384435878798354e-10
1,2005.1395697476034,1019709.9107109682,43.105964470401574,43.10752985792364,38,13.876717625,1.2987064551903895e-10
1,2079.7810815359235,1050455.594160742,41.73168328204706,41.73276717087543,38,13.917272833,2.926515671277964e-10
1,2157.2011307218904,1051649.4441194818,39.33344239854138,39.333701368726445,40,14.467827292,6.971616249683933e-11
1,2237.5031486252237,1024561.7282741669,36.99653738412992,36.99588513536556,41,14.734846542,7.578913760609612e-11
1,2320.794416806388,995384.1409721356,35.91206211738846,35.91107913412362,42,15.580702125,4.945261458991974e-11
1,2407.186210392174,983034.1489154891,36.5574934957223,36.557434136724446,40,14.677324917,9.912197541360756e-11
1,2496.7939467365745,993474.0038973861,38.23620797339845,38.23774043698695,41,14.720843167,1.262157090959036e-10
1,2589.737339615606,1005065.6600308232,40.334480481367855,40.33673751584338,44,16.129557542,1.2758397951577218e-10
1,2686.140559162015,989016.4652623096,40.28314590377096,40.28691152459787,46,16.564345583,3.873771051874101e-11
1,2786.1323977535862,954578.1015066016,38.28243025605622,38.28324293923609,46,16.747683583,9.325194179173893e-11
1,2889.8464420766563,937708.1411773077,37.213347034768624,37.20232188408053,46,17.023077542,1.227020235317856e-10
1,2997.421251594704,942122.9293895018,39.626105260031906,39.59680704287384,50,18.052065917,1.0525474756696188e-10
1,3109.000543660457,942996.4268320737,41.832654511834136,41.82166314161901,48,17.648701959,2.5914254915073106e-10
1,3224.73338551881,920403.260722863,40.95236697050446,40.95066683921684,53,19.12789175,2.4844777705234296e-11
1,3344.7743934570694,894586.8799806242,39.043555174217026,39.04761230649414,53,19.531062625,7.540209399945242e-11
1,3469.28393936859,891318.0600779308,37.33475825903278,37.34202293096538,54,19.75141325,1.38877001283713e-10
1,3598.42836500576,896231.4727329165,36.9347922708755,36.936700598663045,59,21.370164334,3.8205262671260183e-11
1,3732.38020420856,881176.589677181,37.04739565915162,37.03928468649962,61,22.25011225,3.2643489439213125e-11
1,3871.318413405634,860064.9054136481,36.020807271341106,36.00743530687718,60,22.107919125,4.362002058172577e-11
1,4015.4286106957557,861010.398114031,34.37735236647215,34.36854471649103,60,21.893452625,1.2660703246638465e-10
1,4164.903323829131,865900.5205236755,33.82542091434056,33.827942471340165,64,23.88066975,2.5636643780694783e-11
1,4319.9422474198445,850461.6058202004,34.327657957476255,34.34265159705609,65,24.088212875,1.067296923147713e-10
1,4480.752509733024,842388.218101201,33.51573830623791,33.541814640186985,70,27.379142333,3.5500353792392314e-11
1,4647.548949403246,847722.7523779303,32.72100359814411,32.7393615899065,76,29.102906875,2.4384205394254586e-11
1,4820.554402453749,839686.8230450043,35.213323179319715,35.23079264874209,71,26.661164708,5.728348183687813e-11
1,5000.0,834565.701467537,34.60077806997852,34.66172923961288,76,28.363535875,2.932163293518667e-11
2,500.0,325098.3381178492,90.0,90.0,30,21.206531042,5.642815834275794e-11
2,518.6125477035284,338718.2794848386,90.0,90.0,30,21.345982625,5.4898683418007045e-11
2,537.9179492710892,353454.2655606903,90.0,90.0,29,21.01681275,1.1076177668921074e-10
2,557.941996253874,369424.3540897361,90.0,90.0,29,20.883182042,1.0271611380910866e-10
2,578.7114402960283,386731.10276634054,90.0,90.0,29,21.003778292,9.366630732507706e-11
2,600.2540288742039,405456.7990318252,77.4422281263517,77.4426503611396,29,20.448432917,8.010447868084408e-11
2,622.5985423675165,425651.845424949,71.36566655967778,71.36596712740806,28,20.186307083,1.2994263390799725e-10
2,645.7748325074419,447312.49703263125,66.95020623617816,66.95046226355865,28,19.930317458,1.3452715531063816e-10
2,669.8138622590077,470344.374154943,63.361942379042084,63.36218675519687,28,19.399164834,1.8221431539407414e-10
2,694.7477471865686,494510.5218672352,60.286480326170576,60.28671975766358,29,20.033108459,1.310982060377383e-10
2,720.6097983594266,519370.74271995353,57.57352634289816,57.573766052624315,28,20.201259667,3.6193600582660317e-10
2,747.4345668546164,544237.1757864233,55.13019347573052,55.13044106960412,27,19.4098865,1.2169966172686067e-09
2,775.2578899163126,568200.0934981026,52.898923822062955,52.89917984595262,28,20.199279375,7.258068515495113e-10
2,804.116938833521,590299.4163545714,50.83810969793811,50.8383807647664,30,21.004957291,1.8527545645797373e-10
2,834.0502686000294,609881.7408839792,48.91753154850664,48.91782167421898,31,22.38645875,1.2859714623836535e-10
2,865.097869422947,627044.439858177,47.11723360388829,47.11754980539184,31,22.673590125,1.4986138158008122e-10
2,897.301220148658,642899.845032069,45.423301725597746,45.423646923762924,32,22.80225475,1.0738826677038813e-10
2,930.7033436775605,659410.2415470434,43.82716275701804,43.82754369926119,32,22.368163041,1.1725785722299248e-10
2,965.3488644416246,678830.39081644,42.330945507801545,42.331373912107736,32,23.000575917,1.495349092573479e-10
2,1001.2840680215583,703057.9520133251,40.94244322279566,40.942926652264276,32,22.041263167,1.971459453691052e-10
2,1038.5569629832269,733121.7835497328,39.68874412350847,39.68930270258879,31,22.2033955,6.244701603750805e-10
2,1077.217345015942,768734.8164820406,38.61274430041233,38.61340217942672,32,22.38257675,3.0310862291860293e-10
2,1117.3168634582971,807645.9133650593,37.793219347312146,37.79401118323293,34,24.182097375,7.394538259749786e-10
2,1158.909090300446,844798.72438101,37.36572414442298,37.366728069915986,34,24.968780875,1.6009012567756073e-10
2,1202.0495917549858,872515.3423739172,37.53959465429694,37.54089942338643,35,25.78413675,1.5698815256777068e-10
2,1246.796002492079,884425.4171424421,38.60985389793166,38.611601800083086,36,26.160599041,1.3841686145659394e-10
2,1293.208102637984,882637.3631448281,40.74307607804938,40.7452306533629,36,26.331349625,1.9427317817998683e-10
2,1341.3478976398621,878862.4551970764,43.090755489083755,43.092699300748734,35,24.884214084,4.61035816327727e-10
2,1391.2797011035627,885013.9089694828,43.99003759104612,43.991124776135806,36,25.676321583,2.6301883758547545e-10
2,1443.0702207150446,905040.379460219,43.272424327451546,43.27270836013472,37,26.263349125,1.6092520894188102e-10
2,1496.788647360245,935157.9680625093,41.69022195148728,41.689730977743885,37,26.376625667,1.8332477791980334e-10
2,1552.5067475624298,967384.9019599466,39.87302112117621,39.87167384487058,33,23.577353042,5.724917965601948e-09
2,1610.2989593605412,992400.3920593833,38.223633950694456,38.22123804039299,37,26.123413292,2.0448715280546422e-10
2,1670.242491756622,1002510.6572073137,37.04302596224559,37.039254244638585,38,27.407510834,1.789290849192755e-10
2,1732.4174278651828,995949.1208522414,36.64561114336811,36.63999489515137,36,26.497311541,2.282283312372902e-09
2,1796.9068319023127,980490.2545245579,37.34726304568811,37.339790499816274,40,29.33718975,1.0187411167907865e-10
2,1863.7968601574687,971089.5016455491,39.0205400586612,39.01256413201806,39,28.629971917,1.2024484778443389e-10
2,1933.1768760962038,979170.5608056325,40.72816284781129,40.72080424339949,41,29.871861375,1.5373200872533727e-10
2,2005.1395697476034,1000666.169578465,41.56805475524351,41.56189202569632,42,30.422992042,2.686388638423242e-10
2,2079.7810815359235,1016332.1853432613,41.15668081855973,41.151529181153535,44,31.422377541,2.9362404898631034e-10
2,2157.2011307218904,1010703.3541060679,39.68011793489478,39.67565194899311,46,32.25297575,5.822016318760898e-10
