frequency_hz,resistance_pa_s_m3,reactance_pa_s_m3,magnitude_pa_s_m3,phase_deg
5.000000000000000000e+02,8.233995652501651784e+04,4.445144891606704332e+05,4.520763204529887298e+05,7.950572419752774067e+01
1.000000000000000000e+03,7.181354306234514806e+05,7.946885614349740790e+05,1.071096824004402850e+06,4.789685598691146851e+01
2.000000000000000000e+03,9.361419150483619887e+05,9.252021561917012150e+04,9.407027561395962257e+05,5.644292550269674358e+00
3.000000000000000000e+03,8.015862189736076398e+05,5.730567308709999634e+04,8.036320094523176085e+05,4.089138002787819026e+00
4.000000000000000000e+03,7.781103230832887348e+05,7.307461838908972277e+04,7.815341161724746926e+05,5.365078631414980315e+00
5.000000000000000000e+03,8.253951414074238855e+05,9.567968935696948029e+04,8.309222240465274081e+05,6.612207146180224093e+00
