x_m,y_m,z_m,area_weight_m2,pressure_real_pa,pressure_imag_pa,normal_velocity_real_m_s,normal_velocity_imag_m_s
-0.19999998980161662,-0.11875268266773177,0.19313405801397618,9.8428950527606081e-06,3183.6919989384928,-9942.473371288921,-7.8471646261057435,-36.131988106972237
-0.19987499535767783,-0.11120115761960446,0.1951170793938142,1.244198039563454e-05,4000.7450994375331,-10097.705139900901,-7.0890494967682418,-39.805137819115728
-0.19983715994160489,-0.10653435129235225,0.1962626035897124,1.1850310983052422e-05,4461.0534581737556,-10174.817683765636,-6.5872653775789267,-41.511337397613204
-0.19982479850689955,-0.098351075356669343,0.19812107957157418,7.5208182942371249e-06,5165.9907988952118,-10281.998030042914,-5.5983638828701219,-42.711869646696599
-0.20000000000000001,-0.090913133309151281,0.19961613376729678,1.1147161989151609e-05,5695.8465975091603,-10355.616706851604,-4.2314399304060695,-40.634636585282905
-0.1998136239983852,-0.08264548299732638,0.2012554930463111,1.1338369853164261e-05,6302.7862547501136,-10433.143537681397,-3.1856063729960251,-40.34254888741814
-0.20000000000000001,-0.073948963642048032,0.20268313009832123,1.1517611791921743e-05,6772.192239285052,-10491.150773220323,-2.3243294781890715,-37.287547104274019
-0.20000000000000001,-0.0640081846901564,0.20418579604128981,1.2215671219837277e-05,7272.4442491036825,-10550.018208336855,-1.5983343841284097,-35.445921317292814
-0.20000000000000001,-0.054345754055828817,0.20542845869026694,1.226800852764804e-05,7673.9497203159226,-10596.449322124874,-1.1499591050936366,-33.703588968327068
-0.19995611960524953,-0.044069989963856429,0.20653759271673738,1.2713504527703293e-05,8031.8949609820147,-10636.346237545478,-0.74364641855258951,-31.352963521956482
-0.20000000000000001,-0.033060305228002067,0.20745118826965309,9.6183587542277258e-06,8284.4020895218291,-10668.1841753018,-0.56240212379535304,-29.037144753749391
-0.19971480833899871,-0.022530224145895006,0.20813917048999833,1.2651621794585509e-05,8532.7048434380231,-10692.086043943873,-0.28978005506936139,-27.300243800631652
-0.20000000000000001,-0.011126198357847884,0.20849977418233165,1.4912716401739107e-05,8566.9045471897589,-10706.371262447577,-0.48044770210091875,-24.188860601985599
-0.19947679368628587,-0.00014610162703123316,0.20871099586828065,1.3598699947384361e-05,8732.0304192388576,-10712.346174893897,-0.19393836448789148,-25.736047507412263
-0.19971407180604281,0.011208670988413294,0.20854461796579177,1.405272196475672e-05,8645.3439824672223,-10706.053852077017,-0.19792392513040483,-26.028377686992922
-0.19945089697200183,0.021804145214217526,0.2082088432044702,1.4617859077276104e-05,8615.839972035501,-10693.954924419915,-0.10883339492598913,-28.514603240476273
-0.19970832670291017,0.03320834535355098,0.20750173650132403,9.672135262554502e-06,8353.2045363494872,-10670.060641347241,-0.52033166258841923,-30.540582191957132
-0.20000000000000001,0.043777664277397245,0.20655760992062516,1.0259239317088995e-05,8015.9121581241507,-10637.013182987006,-0.94281784305277005,-30.875484105558193
-0.20000000000000001,0.054051774261796803,0.20546626674534366,1.2352917707900848e-05,7670.6441923535212,-10597.460076135174,-1.1253615641248653,-32.76488541752552
-0.20000000000000001,0.064008184690156372,0.20418579604128986,1.3053151863319238e-05,7265.8111851623808,-10549.727497410879,-1.6253948822968791,-35.180341040443921
-0.19984025930440705,0.072820847465356581,0.20281689582883566,1.1585707198955744e-05,6867.0002095371037,-10501.42495947645,-2.2819089330095661,-38.402964376949392
-0.20000000000000001,0.082500523010263241,0.20122074146053529,1.1148002027647236e-05,6273.0686801420889,-10429.472456174837,-3.2213408475640195,-38.991943165696036
-0.20000000000000001,0.090913133309151281,0.19961613376729678,1.339322224048627e-05,5700.7361106625358,-10354.353502695958,-3.9224155085145371,-39.748960501068034
-0.20000000000000001,0.099053549732050536,0.19790621414214041,1.0802315401467362e-05,5077.286783956918,-10267.892526269445,-5.2605928693124682,-40.440324146705947
-0.20000000000000001,0.10580359683743601,0.19637703451451632,7.8090200868849406e-06,4486.1628659474018,-10178.51560547708,-6.7765489279788973,-41.266589480240434
-0.19992709940001982,0.11180590509407505,0.19495091000348491,8.9400898642437954e-06,3940.7840721355306,-10086.14351243061,-7.3345013887380439,-40.06672224420781
-0.19981449124171996,0.11897016138006587,0.19315231617624873,1.0384604832778018e-05,3202.4289618232242,-9946.2171928391836,-7.8798695081384604,-37.034770428863659
-0.19999994650036326,-0.12268882337502679,0.19207486187643202,1.2395219984382321e-05,2737.296760280602,-9848.173584125323,-8.0175871696716445,-33.115428945821662
