retained_depth_mm,dofs,absorbed_power_w,horizontal_scattered_to_incident_l2,horizontal_beamwidth_deg,diagonal_scattered_to_incident_l2,diagonal_beamwidth_deg,vertical_scattered_to_incident_l2,vertical_beamwidth_deg
25.0,1548.0,668.2233561692577,0.1395566993378339,180.0,0.13754179408275077,180.0,0.13682301697804167,180.0
50.0,1790.0,600.8666946563546,0.2451941433623557,180.0,0.2467955752517241,180.0,0.24917006452208226,180.0
100.0,2198.0,477.8171939009374,0.6040056330606546,180.0,0.6139963537535523,180.0,0.6231917338387335,180.0
