x_m,y_m,z_m,area_weight_m2,pressure_real_pa,pressure_imag_pa
0,1.2197274440461925e-19,-0.029999999329447746,2.7096488216214116e-06,780157.46079730219,97778.417218405244
-0,1.2197274440461925e-19,-0.029999999329447746,2.7096488216214116e-06,780157.46079730219,97778.417218405244
0,-1.2197274440461925e-19,-0.029999999329447746,2.7096488216214116e-06,780157.46079730219,97778.417218405244
-0,-1.2197274440461925e-19,-0.029999999329447746,2.7096488216214116e-06,780157.46079730219,97778.417218405244
0,0.0031748178880661726,-0.029999999329447746,3.7441910130056505e-06,776567.69748252735,95615.989236690933
-0,0.0031748178880661726,-0.029999999329447746,3.7441910130056505e-06,776567.69748252735,95615.989236690933
0,-0.0031748178880661726,-0.029999999329447746,3.7441910130056505e-06,776567.69748252735,95615.989236690933
-0,-0.0031748178880661726,-0.029999999329447746,3.7441910130056505e-06,776567.69748252735,95615.989236690933
0,0.0072435685433447361,-0.029999999329447746,5.0529589361732825e-06,779181.1264492604,84263.570351811009
-0,0.0072435685433447361,-0.029999999329447746,5.0529589361732825e-06,779181.1264492604,84263.570351811009
0,-0.0072435685433447361,-0.029999999329447746,5.0529589361732825e-06,779181.1264492604,84263.570351811009
-0,-0.0072435685433447361,-0.029999999329447746,5.0529589361732825e-06,779181.1264492604,84263.570351811009
0,0.0099726413258926089,-0.029940584460012503,4.5539989767048318e-06,774085.89823342569,69290.049051786773
-0,0.0099726413258926089,-0.029940584460012503,4.5539989767048318e-06,774085.89823342569,69290.049051786773
0,-0.0099726413258926089,-0.029940584460012503,4.5539989767048318e-06,774085.89823342569,69290.049051786773
-0,-0.0099726413258926089,-0.029940584460012503,4.5539989767048318e-06,774085.89823342569,69290.049051786773
0,0.01269999984651804,-0.029999999329447746,9.3014969669553354e-07,774086.86187049991,57171.149626006329
-0,0.01269999984651804,-0.029999999329447746,9.3014969669553354e-07,774086.86187049991,57171.149626006329
0,-0.01269999984651804,-0.029999999329447746,9.3014969669553354e-07,774086.86187049991,57171.149626006329
-0,-0.01269999984651804,-0.029999999329447746,9.3014969669553354e-07,774086.86187049991,57171.149626006329
0.0021229283475050604,0.0019794269154917573,-0.029999999329447746,7.8624338864106346e-06,780582.18261710601,95028.010951339616
-0.0021229283475050604,0.0019794269154917573,-0.029999999329447746,7.8624338864106346e-06,780582.18261710601,95028.010951339616
0.0021229283475050604,-0.0019794269154917573,-0.029999999329447746,7.8624338864106346e-06,780582.18261710601,95028.010951339616
-0.0021229283475050604,-0.0019794269154917573,-0.029999999329447746,7.8624338864106346e-06,780582.18261710601,95028.010951339616
0.0021961072700335312,0.005136549423081194,-0.029999999329447746,8.3691506658898093e-06,779090.0825634026,89748.297489139368
-0.0021961072700335312,0.005136549423081194,-0.029999999329447746,8.3691506658898093e-06,779090.0825634026,89748.297489139368
0.0021961072700335312,-0.005136549423081194,-0.029999999329447746,8.3691506658898093e-06,779090.0825634026,89748.297489139368
-0.0021961072700335312,-0.005136549423081194,-0.029999999329447746,8.3691506658898093e-06,779090.0825634026,89748.297489139368
0.0020457778314431204,0.012531324344376775,-0.029993648777712052,4.3866913157150684e-06,769538.12052406487,57606.026302744562
-0.0020457778314431204,0.012531324344376775,-0.029993648777712052,4.3866913157150684e-06,769538.12052406487,57606.026302744562
