x_m,y_m,z_m,area_weight_m2,pressure_real_pa,pressure_imag_pa,normal_velocity_real_m_s,normal_velocity_imag_m_s
0,0,0.23295141756534576,5.1552388301928523e-06,-84720.325573915179,-40761.136041312071,-128.64183903758263,-51.772268317225425
-0,0,0.23295141756534576,5.1552388301928523e-06,-84720.325573915179,-40761.136041312071,-128.64183903758263,-51.772268317225425
0,-0,0.23295141756534576,5.1552388301928523e-06,-84720.325573915179,-40761.136041312071,-128.64183903758263,-51.772268317225425
-0,-0,0.23295141756534576,5.1552388301928523e-06,-84720.325573915179,-40761.136041312071,-128.64183903758263,-51.772268317225425
0,0.0061828531324863434,0.23284904658794403,7.3647121870187375e-06,-85251.098699556431,-39355.401986427925,-175.32828076195409,-69.185853889909765
-0,0.0061828531324863434,0.23284904658794403,7.3647121870187375e-06,-85251.098699556431,-39355.401986427925,-175.32828076195409,-69.185853889909765
0,-0.0061828531324863434,0.23284904658794403,7.3647121870187375e-06,-85251.098699556431,-39355.401986427925,-175.32828076195409,-69.185853889909765
-0,-0.0061828531324863434,0.23284904658794403,7.3647121870187375e-06,-85251.098699556431,-39355.401986427925,-175.32828076195409,-69.185853889909765
0,0.012286227196455002,0.23287642002105713,7.8692033650452309e-06,-85186.470016100342,-38749.691866237255,-174.37083978464281,-67.67711581001096
-0,0.012286227196455002,0.23287642002105713,7.8692033650452309e-06,-85186.470016100342,-38749.691866237255,-174.37083978464281,-67.67711581001096
0,-0.012286227196455002,0.23287642002105713,7.8692033650452309e-06,-85186.470016100342,-38749.691866237255,-174.37083978464281,-67.67711581001096
-0,-0.012286227196455002,0.23287642002105713,7.8692033650452309e-06,-85186.470016100342,-38749.691866237255,-174.37083978464281,-67.67711581001096
0,0.016465621069073677,0.23285090923309326,8.5291340052440867e-06,-85199.499026170088,-37895.360282824535,-176.94952494653182,-67.450470007152674
-0,0.016465621069073677,0.23285090923309326,8.5291340052440867e-06,-85199.499026170088,-37895.360282824535,-176.94952494653182,-67.450470007152674
0,-0.016465621069073677,0.23285090923309326,8.5291340052440867e-06,-85199.499026170088,-37895.360282824535,-176.94952494653182,-67.450470007152674
-0,-0.016465621069073677,0.23285090923309326,8.5291340052440867e-06,-85199.499026170088,-37895.360282824535,-176.94952494653182,-67.450470007152674
0,0.024761904031038284,0.23295141756534576,6.7440772065001722e-06,-85174.493557262525,-35659.594028094223,-165.90765139277312,-58.005235062513073
-0,0.024761904031038284,0.23295141756534576,6.7440772065001722e-06,-85174.493557262525,-35659.594028094223,-165.90765139277312,-58.005235062513073
0,-0.024761904031038284,0.23295141756534576,6.7440772065001722e-06,-85174.493557262525,-35659.594028094223,-165.90765139277312,-58.005235062513073
-0,-0.024761904031038284,0.23295141756534576,6.7440772065001722e-06,-85174.493557262525,-35659.594028094223,-165.90765139277312,-58.005235062513073
0,0.032329129781680087,0.23283403250186649,5.4323908828658968e-06,-84927.208066226987,-33313.881892710895,-159.01620643441916,-48.599946007210413
-0,0.032329129781680087,0.23283403250186649,5.4323908828658968e-06,-84927.208066226987,-33313.881892710895,-159.01620643441916,-48.599946007210413
0,-0.032329129781680087,0.23283403250186649,5.4323908828658968e-06,-84927.208066226987,-33313.881892710895,-159.01620643441916,-48.599946007210413
-0,-0.032329129781680087,0.23283403250186649,5.4323908828658968e-06,-84927.208066226987,-33313.881892710895,-159.01620643441916,-48.599946007210413
0,0.040683859305682926,0.23284389932926136,8.3827041485888247e-06,-84299.747004923629,-29533.504815259868,-161.54590935441385,-45.141877618391106
-0,0.040683859305682926,0.23284389932926136,8.3827041485888247e-06,-84299.747004923629,-29533.504815259868,-161.54590935441385,-45.141877618391106
0,-0.040683859305682926,0.23284389932926136,8.3827041485888247e-06,-84299.747004923629,-29533.504815259868,-161.54590935441385,-45.141877618391106
-0,-0.040683859305682926,0.23284389932926136,8.3827041485888247e-06,-84299.747004923629,-29533.504815259868,-161.54590935441385,-45.141877618391106
0,0.046408973634243011,0.23289540410041809,1.4037621568310442e-05,-83693.661906849899,-26762.014418631807,-156.35445335954591,-35.95179662122721
-0,0.046408973634243011,0.23289540410041809,1.4037621568310442e-05,-83693.661906849899,-26762.014418631807,-156.35445335954591,-35.95179662122721
0,-0.046408973634243011,0.23289540410041809,1.4037621568310442e-05,-83693.661906849899,-26762.014418631807,-156.35445335954591,-35.95179662122721
-0,-0.046408973634243011,0.23289540410041809,1.4037621568310442e-05,-83693.661906849899,-26762.014418631807,-156.35445335954591,-35.95179662122721
0,0.052615534514188766,0.23291395604610443,8.6424767891615828e-06,-82856.927527945591,-22474.95467925612,-153.42834497159905,-28.242847626094342
-0,0.052615534514188766,0.23291395604610443,8.6424767891615828e-06,-82856.927527945591,-22474.95467925612,-153.42834497159905,-28.242847626094342
0,-0.052615534514188766,0.23291395604610443,8.6424767891615828e-06,-82856.927527945591,-22474.95467925612,-153.42834497159905,-28.242847626094342
-0,-0.052615534514188766,0.23291395604610443,8.6424767891615828e-06,-82856.927527945591,-22474.95467925612,-153.42834497159905,-28.242847626094342
0,0.056745931506156921,0.23288890719413757,5.4659833434804821e-06,-82064.033580082527,-19466.972720191039,-148.99096174789489,-21.908049686470093
-0,0.056745931506156921,0.23288890719413757,5.4659833434804821e-06,-82064.033580082527,-19466.972720191039,-148.99096174789489,-21.908049686470093
0,-0.056745931506156921,0.23288890719413757,5.4659833434804821e-06,-82064.033580082527,-19466.972720191039,-148.99096174789489,-21.908049686470093
-0,-0.056745931506156921,0.23288890719413757,5.4659833434804821e-06,-82064.033580082527,-19466.972720191039,-148.99096174789489,-21.908049686470093
8.6736173798840355e-19,0.065017498849032074,0.23283879610228225,7.5773741795241534e-06,-79781.308654003296,-12958.191768889339,-149.32097732129438,-9.5873835615079592
-8.6736173798840355e-19,0.065017498849032074,0.23283879610228225,7.5773741795241534e-06,-79781.308654003296,-12958.191768889339,-149.32097732129438,-9.5873835615079592
8.6736173798840355e-19,-0.065017498849032074,0.23283879610228225,7.5773741795241534e-06,-79781.308654003296,-12958.191768889339,-149.32097732129438,-9.5873835615079592
-8.6736173798840355e-19,-0.065017498849032074,0.23283879610228225,7.5773741795241534e-06,-79781.308654003296,-12958.191768889339,-149.32097732129438,-9.5873835615079592
0,0.073251895606517792,0.23288863897323608,9.3368383771127518e-06,-76537.247012653199,-5446.3424563445233,-137.81782777062551,6.5833035692554391
-0,0.073251895606517792,0.23288863897323608,9.3368383771127518e-06,-76537.247012653199,-5446.3424563445233,-137.81782777062551,6.5833035692554391
0,-0.073251895606517792,0.23288863897323608,9.3368383771127518e-06,-76537.247012653199,-5446.3424563445233,-137.81782777062551,6.5833035692554391
-0,-0.073251895606517792,0.23288863897323608,9.3368383771127518e-06,-76537.247012653199,-5446.3424563445233,-137.81782777062551,6.5833035692554391
0,0.077430895808805647,0.23291340313805831,7.2241706074533109e-06,-74337.095829044163,-1299.7510720785722,-131.85891655762904,13.289164498918291
-0,0.077430895808805647,0.23291340313805831,7.2241706074533109e-06,-74337.095829044163,-1299.7510720785722,-131.85891655762904,13.289164498918291
0,-0.077430895808805647,0.23291340313805831,7.2241706074533109e-06,-74337.095829044163,-1299.7510720785722,-131.85891655762904,13.289164498918291
-0,-0.077430895808805647,0.23291340313805831,7.2241706074533109e-06,-74337.095829044163,-1299.7510720785722,-131.85891655762904,13.289164498918291
