x_m,y_m,z_m,area_weight_m2,pressure_real_pa,pressure_imag_pa,normal_velocity_real_m_s,normal_velocity_imag_m_s
0,0,0.23295141756534576,5.1552388301928523e-06,29197.009568371326,-6344.3117785381755,24.591749355928432,-34.963299123617652
-0,0,0.23295141756534576,5.1552388301928523e-06,29197.009568371326,-6344.3117785381755,24.591749355928432,-34.963299123617652
0,-0,0.23295141756534576,5.1552388301928523e-06,29197.009568371326,-6344.3117785381755,24.591749355928432,-34.963299123617652
-0,-0,0.23295141756534576,5.1552388301928523e-06,29197.009568371326,-6344.3117785381755,24.591749355928432,-34.963299123617652
0,0.0061828531324863434,0.23284904658794403,7.3647121870187375e-06,29081.042768039017,-6419.0513184111896,33.341759823317332,-47.458062899075792
-0,0.0061828531324863434,0.23284904658794403,7.3647121870187375e-06,29081.042768039017,-6419.0513184111896,33.341759823317332,-47.458062899075792
0,-0.0061828531324863434,0.23284904658794403,7.3647121870187375e-06,29081.042768039017,-6419.0513184111896,33.341759823317332,-47.458062899075792
-0,-0.0061828531324863434,0.23284904658794403,7.3647121870187375e-06,29081.042768039017,-6419.0513184111896,33.341759823317332,-47.458062899075792
0,0.012286227196455002,0.23287642002105713,7.8692033650452309e-06,28982.040843543637,-6464.7382089163957,33.123975662419539,-47.363612796129217
-0,0.012286227196455002,0.23287642002105713,7.8692033650452309e-06,28982.040843543637,-6464.7382089163957,33.123975662419539,-47.363612796129217
0,-0.012286227196455002,0.23287642002105713,7.8692033650452309e-06,28982.040843543637,-6464.7382089163957,33.123975662419539,-47.363612796129217
-0,-0.012286227196455002,0.23287642002105713,7.8692033650452309e-06,28982.040843543637,-6464.7382089163957,33.123975662419539,-47.363612796129217
0,0.016465621069073677,0.23285090923309326,8.5291340052440867e-06,28862.328548378082,-6523.2794263947299,33.525788580780535,-48.063291573620269
-0,0.016465621069073677,0.23285090923309326,8.5291340052440867e-06,28862.328548378082,-6523.2794263947299,33.525788580780535,-48.063291573620269
0,-0.016465621069073677,0.23285090923309326,8.5291340052440867e-06,28862.328548378082,-6523.2794263947299,33.525788580780535,-48.063291573620269
-0,-0.016465621069073677,0.23285090923309326,8.5291340052440867e-06,28862.328548378082,-6523.2794263947299,33.525788580780535,-48.063291573620269
0,0.024761904031038284,0.23295141756534576,6.7440772065001722e-06,28533.51831261109,-6681.2371678427862,31.103346530977085,-45.322202906761866
-0,0.024761904031038284,0.23295141756534576,6.7440772065001722e-06,28533.51831261109,-6681.2371678427862,31.103346530977085,-45.322202906761866
0,-0.024761904031038284,0.23295141756534576,6.7440772065001722e-06,28533.51831261109,-6681.2371678427862,31.103346530977085,-45.322202906761866
-0,-0.024761904031038284,0.23295141756534576,6.7440772065001722e-06,28533.51831261109,-6681.2371678427862,31.103346530977085,-45.322202906761866
0,0.032329129781680087,0.23283403250186649,5.4323908828658968e-06,28152.542626321232,-6856.2627946857956,29.213738642321395,-43.269359149209997
-0,0.032329129781680087,0.23283403250186649,5.4323908828658968e-06,28152.542626321232,-6856.2627946857956,29.213738642321395,-43.269359149209997
0,-0.032329129781680087,0.23283403250186649,5.4323908828658968e-06,28152.542626321232,-6856.2627946857956,29.213738642321395,-43.269359149209997
-0,-0.032329129781680087,0.23283403250186649,5.4323908828658968e-06,28152.542626321232,-6856.2627946857956,29.213738642321395,-43.269359149209997
0,0.040683859305682926,0.23284389932926136,8.3827041485888247e-06,27590.008682380856,-7112.5724312858147,29.618768647507832,-44.672522676332598
-0,0.040683859305682926,0.23284389932926136,8.3827041485888247e-06,27590.008682380856,-7112.5724312858147,29.618768647507832,-44.672522676332598
0,-0.040683859305682926,0.23284389932926136,8.3827041485888247e-06,27590.008682380856,-7112.5724312858147,29.618768647507832,-44.672522676332598
-0,-0.040683859305682926,0.23284389932926136,8.3827041485888247e-06,27590.008682380856,-7112.5724312858147,29.618768647507832,-44.672522676332598
0,0.046408973634243011,0.23289540410041809,1.4037621568310442e-05,27152.434249167545,-7306.3659281269884,28.23919581546027,-43.665753818645861
-0,0.046408973634243011,0.23289540410041809,1.4037621568310442e-05,27152.434249167545,-7306.3659281269884,28.23919581546027,-43.665753818645861
0,-0.046408973634243011,0.23289540410041809,1.4037621568310442e-05,27152.434249167545,-7306.3659281269884,28.23919581546027,-43.665753818645861
-0,-0.046408973634243011,0.23289540410041809,1.4037621568310442e-05,27152.434249167545,-7306.3659281269884,28.23919581546027,-43.665753818645861
0,0.052615534514188766,0.23291395604610443,8.6424767891615828e-06,26554.244617638182,-7577.2772069482426,27.428853280641295,-43.448244240317173
-0,0.052615534514188766,0.23291395604610443,8.6424767891615828e-06,26554.244617638182,-7577.2772069482426,27.428853280641295,-43.448244240317173
0,-0.052615534514188766,0.23291395604610443,8.6424767891615828e-06,26554.244617638182,-7577.2772069482426,27.428853280641295,-43.448244240317173
-0,-0.052615534514188766,0.23291395604610443,8.6424767891615828e-06,26554.244617638182,-7577.2772069482426,27.428853280641295,-43.448244240317173
0,0.056745931506156921,0.23288890719413757,5.4659833434804821e-06,26125.763503462662,-7766.1293258572941,26.455529777154105,-42.730612037134996
-0,0.056745931506156921,0.23288890719413757,5.4659833434804821e-06,26125.763503462662,-7766.1293258572941,26.455529777154105,-42.730612037134996
0,-0.056745931506156921,0.23288890719413757,5.4659833434804821e-06,26125.763503462662,-7766.1293258572941,26.455529777154105,-42.730612037134996
