x_m,y_m,z_m,area_weight_m2,pressure_real_pa,pressure_imag_pa,normal_velocity_real_m_s,normal_velocity_imag_m_s
-0.1999701048105022,-0.11787555851115113,0.19338229228454323,1.5807904715315664e-05,19980.319260260476,8846.6555949912436,66.975297720534172,5.3878948093555739
-0.19992832072856451,-0.11111634915348453,0.19511711215271937,1.6662918530275444e-05,20429.184726303247,13416.926423773213,71.329620733304353,14.766072053097737
-0.20000000000000001,-0.10580359683743601,0.19637703451451632,1.6362283812741301e-05,20578.15784637491,16440.875887394592,73.846211050934514,23.394939097483725
-0.19987382661170983,-0.098480913133130107,0.1980766431054731,2.0424275569644977e-05,20592.508186372957,20503.826836542172,74.03063120862393,31.970971817998318
-0.20000000000000001,-0.090772011712525733,0.19964305107257804,2.3227924671903357e-05,20667.219445280207,23853.420254791799,72.619011528885594,37.444455779135438
-0.20000000000000001,-0.082666681620486723,0.20118904863574136,1.7444136813836384e-05,20864.280559426952,26834.275963662989,73.492468593397589,41.348320750025806
-0.19983307644294723,-0.075273967238548511,0.20250920161154443,1.8416265742307833e-05,20960.479511960228,29196.268710344906,67.540734912494855,47.193513965600843
-0.19998214727189342,-0.054804880204953735,0.2053742830218187,1.2618082514974596e-05,22369.489429861729,33106.227312547882,59.122297718746374,46.50267486222161
-0.20000000000000001,-0.043711750034850089,0.20656461150605362,1.4405365738745967e-05,23367.853026944707,34268.138589099202,54.723187698077361,45.297800532228749
-0.19951977141235133,-0.032783731861708007,0.20756616206760875,2.0063977804644586e-05,23578.495806154431,35855.826295398081,50.557162112374911,47.460114166830024
-0.19959228701698492,-0.022379550530939228,0.20800847900325056,1.3940218048623965e-05,24588.404085274458,36006.725953864341,49.293041169977897,43.260684245152859
-0.19948102319771568,-0.012076500221800696,0.20855955682909205,1.3642702782519977e-05,25017.322557355419,36341.548167697474,47.010259136197178,40.55759838303625
-0.19964501864777448,0.00073101668668726176,0.20855926983347273,1.321035486871712e-05,25547.846200094042,35964.036451520966,42.70485974309647,38.770606911099513
-0.20000000000000001,0.011126198357847856,0.20849977418233165,1.4422089143599459e-05,25879.084014737742,35392.008344708105,44.07709578419049,32.996460460944164
-0.19974142704930645,0.022074040541578542,0.20805596851445363,1.2831069895437321e-05,24850.629605400969,35710.215546875108,47.922243782093076,39.798848447519134
-0.20000000000000001,0.032350767326698907,0.20749360674620329,1.643563422544272e-05,24375.226080233962,34926.853443228436,49.123182599922934,41.7265634156497
-0.20000000000000001,0.043711750034850061,0.20656461150605368,1.8996863060753966e-05,23257.583087232386,34328.726350591125,53.462253698649938,44.08187422345037
-0.20000000000000001,0.054051774261796803,0.20546626674534366,1.6409483803936236e-05,22379.68178758262,33182.335375424409,57.909154095965746,46.457394966244365
-0.20000000000000001,0.064008184690156372,0.20418579604128986,1.7792118814548733e-05,21642.699404773735,31624.318505677991,62.27789602735529,46.598161660358798
-0.1998615170252622,0.07452303559703187,0.20254205100530409,2.080707166513851e-05,20924.977692661076,29439.538255933177,66.585761604741208,46.283565357512984
-0.20000000000000001,0.082343017860852782,0.20124767616694061,2.2361589788920069e-05,20879.54689147964,26935.300968080104,71.373212065701253,40.98437763663587
-0.19985239968787474,0.090549629827350125,0.19973352379514303,2.3904644967105324e-05,20631.752803041811,24205.321845632912,73.938692218837446,36.424923363589627
-0.20000000000000001,0.098696682239565084,0.19798706017043474,1.9250550292189787e-05,20657.127754386711,20292.244844338566,76.13698935294542,29.836180891832658
-0.19999999999999912,0.10632581581370711,0.19625047873093215,1.5991285414933908e-05,20567.577679953389,16191.215363565978,73.829668860899702,21.502619158327988
-0.19999999999999038,0.11155734354521893,0.19498265790961436,1.5186241854829593e-05,20398.348966551937,13015.62592454385,71.074496767940829,14.615773404310943
-0.19999999995084483,0.1177021658920667,0.19341514269992127,1.652745171555465e-05,20037.321725507576,8959.0375015277859,67.898239450583731,4.1125971798156264
-0.19998820822727686,-0.12595589220735653,0.19116590248990789,1.2027073581161789e-05,18778.81926426951,2451.7140645840859,49.971970807786391,-9.8490095410961711
-0.19998539063918308,0.12674010076817641,0.19094772106523272,7.4346135818671305e-06,18598.198149011194,1738.4279583505054,50.177462163018497,-12.343220722046555
-0.19898025681242157,-0.1291847481375035,0.19047564553442514,2.5781184878160177e-06,18262.024561239723,196.41834579062035,50.670803127789362,-25.451838918898396
-0.19919788545452038,0.12947862554543826,0.19051244880323009,6.9578077279776728e-06,18052.124355551503,38.393454115594082,40.657532913656546,-12.987362106805763
-0.19472558655040637,-0.1297992169059837,0.19238766597939835,1.304268077567806e-05,19190.415879088057,3333.2630420718165,45.401705824749484,-7.4368099329521362
-0.19053687736198491,-0.10872145124060403,0.1993129780860223,3.5296972090000681e-05,17515.442171173301,25729.500711598801,49.666162013044321,35.143228976862176
-0.19080937697591724,-0.10123709881590016,0.20077556742489605,3.7780958831358089e-05,15963.793740918032,30364.366714886044,49.143581155909999,43.585814963296038
-0.18870961663440369,-0.094705438297343542,0.20272537414713149,3.1635879746218112e-05,13117.746579133151,35950.361730931647,46.178114395159774,56.71467747757147
-0.19083026174448828,-0.087903398848728498,0.20326034886082917,3.6645656708845729e-05,13368.01463550132,36938.213257728661,46.916420538966157,58.252888229493955
-0.1904751916771914,-0.080900692083684278,0.20451095902110558,3.4538676761606906e-05,11922.736350699737,39992.5081148514,42.500850339288419,62.788860746737413
-0.19084389770634214,-0.071090306665871947,0.20582267523826356,2.2609413886199561e-05,11147.386346567628,42609.644369329508,39.304576293935646,63.326630133382665
-0.18989048337351788,-0.060426473309817451,0.20736785117293938,2.7511458842809242e-05,9314.4594391707797,46000.944700395048,36.798037547154777,68.982992187179406
-0.19017478362763141,-0.05061529034763404,0.20827493291270191,2.9200964105303877e-05,9475.6030148152695,47210.105748129594,35.647957542874231,70.974214685171461
-0.19001647961361234,-0.040326183187907608,0.20909926393551403,2.334025318830553e-05,9259.6386532844117,48432.796912268721,32.85979860387696,69.88941995702686
-0.19020543394879191,-0.030554517965405759,0.20960871435132952,2.2907511783082038e-05,9886.6869073388771,48842.231581279775,31.729987112534115,68.474650625568742
-0.1905743412047772,-0.018690287301549504,0.20991888375629292,3.0537894832995255e-05,10995.792384183454,48792.192535975766,30.880036061615424,64.910686859126727
