x_m,y_m,z_m,area_weight_m2,pressure_real_pa,pressure_imag_pa
-0.012684295288761334,0.00040131678353835711,-0.029986326686899475,2.4995697307028436e-06,770287.24527789932,53493.854641876118
-0.012374736568766869,-0.0020808233364847007,-0.029999999999999999,4.9066129738248018e-06,770134.9580926887,54350.949643563217
-0.012166986389192615,0.0036275154143978281,-0.029950725340548458,7.1147135337727368e-06,770616.06540632737,53304.512952464174
-0.012037724436208132,-0.0040476153964918195,-0.029999999999999999,5.9333000836115332e-06,771987.47673670144,53334.068210715806
-0.010713176435085622,0.0068196865001056428,-0.029999999999999999,4.4697550083446249e-06,769517.42611723288,55605.417473998197
-0.010407511490105605,-0.0072783036885884214,-0.029999999999999999,2.898614697594263e-06,774984.29759922193,51483.005515865727
-0.008716779096706399,0.009236220124012982,-0.029999999999999999,9.1782904277802079e-06,771875.41405495396,55634.156543611221
-0.0080166747455018977,-0.0098500216256022528,-0.029999999999999999,5.7676356677816559e-06,768877.01341105776,55949.022768825002
-0.0049102415676371214,-0.0070442033325779727,-0.029999999999999999,1.7839431434337677e-05,776223.3026816668,77440.052291427695
-0.0056099645121947227,0.011393783312487376,-0.029999999999999999,5.1204654681846397e-06,774801.17832897219,54374.068390553264
-0.0048830558719429526,-0.011744244699128249,-0.029820263647323167,6.6993018294543884e-06,768597.10059524281,44542.114900826884
-0.0026843846993392789,0.0014591707135103258,-0.029999999999999999,3.6069516809570233e-05,784479.87419379759,91364.038266534684
-0.0026006433677956851,0.0082268520399332544,-0.029999999999999999,3.2445822205045996e-05,779555.02164971433,76504.821354998843
-0.0021352605932874321,0.012519211724336073,-0.029999999999999999,4.1822440430189102e-06,775280.85621316615,54214.667028148484
-0.0010829848053251845,-0.012653740313102476,-0.029999999999999999,3.92316799037318e-06,769303.08850218833,53799.996527310737
0.0003761336788626574,0.012685888103530071,-0.029981408030259785,4.0179088142124605e-06,775685.13638430438,53199.636627466862
0.00047024585174086566,-0.0040344640227705985,-0.030000000000000002,3.5689911042215013e-05,791062.08465109335,88683.981351120005
0.003709762585232681,0.0057712154395034411,-0.030000000000000002,3.7413599086222974e-05,781378.02287719864,84347.089150145344
0.0031301055714073266,-0.012308226481172857,-0.029999999999999999,7.5071259871416629e-06,783855.15966462903,50590.739176806797
0.0031301055714073253,0.012308226481172857,-0.029999999999999999,1.2722767252501359e-05,776095.8739645395,56098.502610743984
0.0055939065488973226,-0.011410802292458506,-0.029915826381568426,2.986520189105168e-06,772722.17544257222,50492.058148853226
0.006805001138841223,0.01072296411914027,-0.029999999999999999,6.8920551802055716e-06,777671.55648780928,53325.344269147899
0.0076794607935553282,-0.010115131334799691,-0.029999999999999999,3.3318940427008533e-06,779279.24918376212,53842.351442808053
0.0073618664289895556,-0.0042089847065255297,-0.029999999999999999,2.6445379536351784e-05,777953.47823618015,78979.681491185547
0.009236220124012982,0.008716779096706399,-0.029999999999999999,1.1826363991061374e-05,774897.84404398571,55698.118417369689
0.008958221373557021,0.0019414232428523882,-0.029999999999999999,2.7594734045461791e-05,776106.37995366612,75509.623010189302
0.0098206279643233314,-0.0080795433921134179,-0.029830848006415854,7.559019854301073e-06,771429.23003911716,46863.447411640991
0.01135416125221156,-0.0056849532024140833,-0.029999999999999999,3.9088555166022124e-06,770464.79412694753,56745.226158211161
0.011475395130185161,0.0054300146353700165,-0.029999999999999999,4.2878221612620907e-06,770414.39986912068,54902.048529516018
0.012308226481172857,-0.0031301055714073253,-0.029999999999999999,8.7967489461404824e-06,772183.25741782167,56421.736494315199
0.012369911024203407,0.0028392484624383775,-0.029999999999999999,3.2708343117496451e-06,769625.4397950581,56235.493113665732
0.012699999999999999,1.4099832412739487e-18,-0.029999999999999999,3.7426261905132112e-06,773974.15768343862,55111.474608010452
0.0043350119796725078,0.00032031722189019088,-0.030000000000000002,2.587771217610369e-05,782957.38055634894,89946.594758183783
-0.0017579428610235107,-0.0096704498327643794,-0.029999999999999999,1.9144398660999948e-05,773687.08464972896,71264.79824247527
-0.010069240019523454,6.9147243876925416e-05,-0.029999999999999999,1.1578374547748671e-05,774846.31952973735,69658.987421889105
-0.0081344031759750628,-0.0062332555873614616,-0.029999999999999999,9.6037569306122554e-06,770582.69996167626,69484.672369535154
-0.0070548262622266347,-0.0026653424671725921,-0.029999999999999999,2.892134807207267e-05,775749.72948773799,82818.195695852613
0.0041580739883919152,-0.0081671321643917629,-0.029999999999999999,2.2035248848812719e-05,780712.72112165834,73987.438930306467
-0.0072233424568059236,0.0047202001709299689,-0.029999999999999995,2.6430616258883749e-05,778103.14573381352,77049.240862237886
