frequency_hz,horizontal_6db_half_angle_deg,diagonal_6db_half_angle_deg,vertical_6db_half_angle_deg,impedance_magnitude_pa_s_m3,iterations,solve_seconds,relative_residual,peak_rss_gib
500.0,63.92511593118176,73.44751489560745,83.79584517596231,317869.7437527794,102,28.72811129083857,3.46064e-10,0.4024505615234375
535.0344778465873,60.027918861406214,69.35423622002791,79.82885612231709,332213.8273505995,112,29.081959083210677,2.25796e-10,0.4024505615234375
572.5237849691405,56.42612304834135,65.45581524346858,76.09742853485368,359985.78818943846,112,28.890490250196308,1.64551e-10,0.4024505615234375
612.6399286914325,53.140672740663675,61.718005581321414,72.31448773701334,397586.5665988336,127,14.259710625279695,8.08288e-10,0.4024505615234375
655.5669687107821,50.222798069672244,58.27472431207377,68.55533900889242,444631.52943000436,127,14.160857416689396,4.32189e-10,0.4024505615234375
701.5018615952866,47.64762755604369,55.170913818012686,64.8869886946636,501561.41777120635,127,14.188883082941175,1.50972e-10,0.4024505615234375
750.6553644540862,45.33048363039462,52.39562558447144,61.46538361641891,568055.549107283,122,14.026075833942741,4.6426e-10,0.4024505615234375
803.2530019268643,43.11435461709464,49.8272065272936,58.33535778355429,636094.2535778581,124,14.09877874981612,8.96783e-10,0.4024505615234375
859.5361009292872,40.80128788497354,47.24962717828421,55.38302994691969,678658.0045413343,112,13.68625829089433,9.01356e-10,0.4024505615234375
919.7628979019854,38.246349520847474,44.43106983728651,52.37665966251591,668375.6993054656,117,13.82909324998036,3.8981e-10,0.4024505615234375
984.2097236433056,35.48315361338926,41.28581468199219,49.08894864896708,640850.0694602833,119,13.993674790952355,4.5402e-10,0.4024505615234375
1053.172271162061,32.785502641068845,38.054130565405764,45.54049292024584,655616.2723366406,114,13.789642916060984,1.49195e-10,0.4024505615234375
1126.9669523673954,30.538634762628526,35.23199244827522,42.21001283194489,726298.0766977054,111,13.585100583732128,2.75942e-10,0.4024505615234375
1205.9323498204985,29.09225489216776,33.25193595650313,39.72580206623916,830182.8447810544,102,13.352989541832358,2.03548e-10,0.4024505615234375
1290.4307702090368,28.97240005896654,32.31508204197455,38.26357195842131,895945.924499595,115,13.696379417087883,5.16256e-10,0.4024505615234375
1380.8499066719244,31.168945865756793,32.05845010321972,36.90201244147266,863299.9088677048,116,16.933370208833367,1.19263e-10,0.4024505615234375
1477.6046176014438,34.02999935112512,31.04236989141457,33.96826843996099,820090.7573151292,110,16.790261374786496,9.19651e-10,0.4024505615234375
1581.1388300841895,32.86492903281867,28.77789579644751,29.890295739897994,839672.4316247592,109,16.745615208055824,2.78678e-11,0.4024505615234375
1691.9275767141164,32.029395541272166,26.937297786258885,27.16676250656434,928738.9005188623,98,16.27220204193145,1.36842e-10,0.4024505615234375
1810.4791751229582,34.73431587203086,26.45823002713526,27.00390006777089,963342.000285552,94,16.21330516692251,2.23011e-10,0.4024505615234375
1937.3375602280657,38.87255451685378,26.45046148579377,27.923473733486517,885486.5926446167,98,16.70513550005853,3.95022e-10,0.4024505615234375
2073.084779898409,39.68296344150917,27.764916515855923,26.840061976316857,899800.4686576118,99,16.618263042066246,7.85077e-10,0.4024505615234375
2218.3436654893053,36.4919754988899,27.78467694198018,24.464041797798757,952981.1955584049,93,16.183604250196368,4.62155e-10,0.4024505615234375
2373.7806894987125,34.615212949290324,26.7333391530459,23.22741412981547,921506.4961871747,90,16.102439124602824,6.88167e-10,0.4024505615234375
2540.109023456511,35.774659261398654,26.08105096633701,21.96162778681885,895327.2089776403,83,15.84342929115519,4.50137e-10,0.4024505615234375
2718.091810076918,38.50992755937744,28.624625880765752,22.968550793470165,924893.3325123221,95,16.49886270891875,2.0061e-10,0.4024505615234375
2908.5456646871785,37.22397476252363,29.23674748678798,23.313776221231855,890888.2310346733,90,16.229430084116757,7.6591e-10,0.4024505615234375
3112.3444219977196,41.539132130318045,27.933391887165243,23.000608963587084,884653.4535800669,87,16.027513874694705,5.69693e-10,0.4024505615234375
3330.4231454045766,39.87943976240495,30.138480113589758,24.96619916746641,883981.4959648312,83,15.956720833200961,9.80633e-10,0.4024505615234375
3563.7824172194564,38.59838364538182,29.105268425091847,24.364454493927806,874755.8753722027,84,15.893705292139202,5.09527e-10,0.4024505615234375
3813.4929295117213,38.88744817360698,29.756986735121053,26.416272314205973,885371.054584406,77,15.785383333917707,4.94972e-10,0.4024505615234375
4080.7003966259126,36.1838247520018,30.841783925399252,24.082593987411535,887799.400312345,79,15.75002666702494,9.23422e-10,0.4024505615234375
4366.630811914218,39.41178792830456,30.744612002335742,25.149802282188027,886403.5232551451,65,14.991205874830484,7.69427e-10,0.3682708740234375
4672.596072802687,35.98191756695332,30.190257091838458,23.15333808691494,858939.1589909147,62,15.345032999757677,4.10233e-10,0.3682708740234375
5000.0,36.09413746882809,29.73013326464047,24.179158542137166,812809.1465080777,62,15.543982958886772,2.84319e-10,0.4024505615234375
