frequency_hz,fem_resistance_pa_s_m3,fem_reactance_pa_s_m3,fem_magnitude_pa_s_m3,webster_resistance_pa_s_m3,webster_reactance_pa_s_m3,webster_magnitude_pa_s_m3,fem_radiated_power_w,webster_radiated_power_w,gmres_iterations,solve_seconds,relative_residual
500.0,82339.95652687555,444514.4891604397,452076.3204531005,63982.152887824166,484663.37565617973,488868.39086875325,41169.97826343887,31991.07644391217,42,13.855825125,1.117763037660329e-10
514.6002635972143,90783.77194165342,455770.3905074266,464723.94183132664,73147.80766389449,503824.2614102491,509106.5587395404,45391.885970828844,36573.9038319461,42,13.607905166,1.138162926541589e-10
529.6268625886443,98833.90675973431,466977.2710912264,477321.6031578715,83458.85109614371,523819.8452428272,530426.8187945513,49416.95337987292,41729.42554807267,42,13.706332875,1.0515129461623174e-10
545.0922461925638,106380.44920512872,478477.42129278585,490160.6294472038,95103.73685028136,544741.4352121643,552980.9689310258,53190.22460256517,47551.86842513995,42,13.816086292,1.3515192484190494e-10
561.0092271509814,113443.9098791686,490650.68874692795,503594.69720848696,108354.51866987103,566683.5347059043,576949.6773748619,56721.954939585376,54177.25933493544,42,13.645826708,1.4101697429420379e-10
577.390992344729,120171.96732280667,503862.90187599935,517995.29497586814,123595.32801191148,589716.6526254679,602529.2818528895,60085.98366140496,61797.66400595453,42,13.789802292,2.809420530254199e-10
594.2511137185094,126815.89819511934,518429.1198247391,533714.3658524554,141350.8335449482,613841.9422412066,629906.3328768084,63407.94909756671,70675.4167724759,43,14.047748666,1.0219122944670616e-10
611.6035595249656,133700.76221884205,534597.0928820899,551062.5604555995,162309.51635758433,638919.6490194413,659213.6960071134,66850.38110942235,81154.75817879211,43,14.110222208,7.39586877068421e-11
629.4627058970837,141201.38303260648,552547.08391688,570303.5249017566,187329.54727705463,664559.4676434111,690457.5622857065,70600.69151630468,93664.77363852494,43,14.1300025,7.4745985787701e-11
647.8433487585094,149730.29273675766,572399.7123270459,591659.1850340194,217399.3721233664,689959.2025642976,723399.051839851,74865.14636838074,108699.68606168429,43,14.101304792,8.332067600517615e-11
666.7607160816619,159738.38067436076,594223.3823955456,615319.2492081405,253496.1382928787,713688.2743530327,757371.2729424136,79869.19033718131,126748.06914644112,43,14.164957291,9.287343986689159e-11
